,1. open,2. high,3. low,4. close,5. volume
2009-09-30,27.94,29.88,24.52,25.04,264571800.0
2009-10-30,24.89,26.8,23.5,25.95,308267500.0
2009-11-30,26.02,29.74,25.64,28.67,189972900.0
2009-12-31,29.0,33.25,27.3,30.48,333531300.0
2010-01-29,31.38,36.07,30.97,33.0,278076300.0
2010-02-26,33.03,34.3,31.39,33.86,203370000.0
2010-03-31,34.0,35.16,31.93,32.67,262189500.0
2010-04-30,32.8,34.0,29.62,30.31,290275300.0
2010-05-28,30.5,30.74,27.97,29.07,200376300.0
2010-06-30,29.18,31.8,28.31,28.4,235428300.0
2010-07-30,28.31,31.72,27.13,30.45,184052600.0
2010-08-31,30.89,33.79,30.82,31.72,175165600.0
2010-09-30,32.01,35.94,31.84,35.11,160229900.0
2010-10-29,35.07,37.95,33.94,36.05,171901700.0
2010-11-30,36.27,37.5,34.5,36.52,180833400.0
2010-12-31,37.14,38.06,34.94,36.11,159579700.0
2011-01-31,36.38,42.44,36.37,41.05,162433900.0
2011-02-28,41.36,44.33,40.895,42.58,125298200.0
2011-03-31,42.56,45.7497,41.46,45.2,121843800.0
2011-04-29,45.5,49.395,43.3,49.23,131301040.0
2011-05-31,49.4,51.46,46.97,48.95,158332700.0
2011-06-30,48.7,52.64,47.57,51.58,165969400.0
2011-07-29,51.84,53.5,48.11,49.63,148267000.0
2011-08-31,50.28,50.36,41.27,47.52,231912900.0
2011-09-30,47.58,51.24,44.09,46.12,178852800.0
2011-10-31,45.77,50.0,41.32,47.99,181413500.0
2011-11-30,46.81,48.88,43.42,48.77,144450500.0
2011-12-30,48.59,51.71,47.63,50.68,132044300.0
2012-01-31,51.24,54.1834,49.82,51.79,156819300.0
2012-02-29,52.16,56.16,50.68,55.75,132436700.0
2012-03-30,55.75,59.43,53.4,58.94,139862700.0
2012-04-30,58.94,59.71,55.48,56.15,134294800.0
2012-05-31,56.27,57.42,53.78,55.77,115177500.0
2012-06-29,55.22,60.75,54.69,58.5,165413900.0
2012-07-31,58.89,59.31,50.89,51.09,165278500.0
2012-08-31,51.21,55.03,50.32,54.3,120000500.0
2012-09-28,54.4,56.75,52.58,55.41,133898300.0
2012-10-31,55.72,58.29,55.3401,56.0,107598600.0
2012-11-30,55.86,57.24,51.09,54.39,137959500.0
2012-12-31,54.56,55.82,53.28,54.24,94058200.0
2013-01-31,54.88,56.69,51.36,55.21,161036700.0
2013-02-28,55.74,58.255,52.51,53.45,120496500.0
2013-03-28,53.34,57.31,52.88,57.21,109815200.0
2013-04-30,57.16,63.95,57.0101,59.93,157336600.0
2013-05-31,59.96,64.9,58.87,62.63,119800600.0
2013-06-28,62.89,66.19,60.95,65.48,103889300.0
2013-07-31,65.89,73.66,64.65,72.85,116538400.0
2013-08-30,73.23,73.67,71.0,71.74,70393400.0
2013-09-30,71.81,75.88,70.4,71.61,88995300.0
2013-10-31,71.74,75.49,66.72,68.26,154282100.0
2013-11-29,68.27,74.99,67.95,74.48,77403500.0
2013-12-31,73.64,75.54,70.2,75.3,87821400.0
2014-01-31,74.91,77.3299,70.84,72.28,111391100.0
2014-02-28,72.14,77.71,69.57,77.27,100618500.0
2014-03-31,76.7,83.32,75.65,81.99,104454400.0
2014-04-30,82.35,83.05,73.61,75.04,112716600.0
2014-05-30,75.05,79.74,74.26,79.63,73562500.0
2014-06-30,79.77,82.54,77.53,81.75,75611400.0
2014-07-31,81.74,87.24,80.545,81.05,87663600.0
2014-08-29,81.14,87.23,78.74,86.68,63070297.0
2014-09-30,87.12,88.85,85.58,86.25,66895899.0
2014-10-31,86.0,95.67,80.72,95.01,108354722.0
2014-11-28,95.45,99.42,93.01,98.63,68331973.0
2014-12-31,98.75,104.0,95.75,101.09,82469105.0
2015-01-30,101.5,114.32,98.46,106.25,100757323.0
2015-02-27,106.73,116.58,105.07,113.63,76170975.0
2015-03-31,113.77,123.76,111.65,118.29,83244491.0
2015-04-30,119.52,122.32,111.12,111.4,86878753.0
2015-05-29,112.29,121.85,111.74,120.21,72259514.0
2015-06-30,120.54,124.11,115.36,122.0,106435443.0
2015-07-31,122.95,126.05,116.66,121.4,95034628.0
2015-08-31,121.61,126.21,95.0,115.7,84222248.0
2015-09-30,113.5,125.12,111.005,116.01,94234869.0
2015-10-30,115.94,125.99,110.0718,117.78,105957349.0
2015-11-30,118.64,119.95,109.61,112.71,82092408.0
2015-12-31,113.53,121.09,113.05,117.64,76130047.0
2016-01-29,116.91,117.89,107.51,115.16,88343063.0
2016-02-29,114.83,122.26,108.8301,119.1,72336857.0
2016-03-31,119.49,131.105,119.37,128.9,67586265.0
2016-04-29,128.69,135.11,125.26,131.68,71248537.0
2016-05-31,132.61,134.75,128.53,133.67,55542218.0
