,1. open,2. high,3. low,4. close,5. volume
2012-12-31,150.0,152.51,146.1,151.58,54031200.0
2013-01-31,154.16,162.77,153.93,157.91,59355700.0
2013-02-28,159.0,160.88,154.14,158.64,61217500.0
2013-03-28,157.93,170.96,155.68,169.84,64842600.0
2013-04-30,169.75,170.99,161.27,168.46,51905700.0
2013-05-31,166.99,184.9,163.6,178.14,77751600.0
2013-06-28,178.75,185.23,175.68,182.75,62189200.0
2013-07-31,183.9,196.0,170.99,177.01,84007800.0
2013-08-30,181.76,185.14,172.21,174.42,92972300.0
2013-09-30,176.03,200.86,175.05,191.1,71214300.0
2013-10-31,191.29,205.25,180.11,196.67,67642100.0
2013-11-29,198.95,205.0699,195.0,203.46,51368400.0
2013-12-31,204.1,222.72,199.43,222.68,70411400.0
2014-01-31,221.54,235.5,215.109,215.43,75352000.0
2014-02-28,216.51,228.48,211.38,225.94,57835200.0
2014-03-31,223.24,232.67,210.52,215.86,66709900.0
2014-04-30,217.08,218.1586,194.84,202.61,96853500.0
2014-05-30,204.1,215.95,203.0,214.83,54955700.0
2014-06-30,215.37,215.69,207.31,210.71,50554700.0
2014-07-31,211.95,224.75,211.01,211.01,55415300.0
2014-08-29,209.87,218.0,208.21,212.52,44936500.0
2014-09-30,213.41,218.65,209.12,213.37,50857195.0
2014-10-31,212.85,242.5,195.19,241.43,80839596.0
2014-11-28,240.98,259.5,239.0,258.19,51380169.0
2014-12-31,256.27,269.32,252.35,262.2,50490539.0
2015-01-30,263.38,266.75,245.17,254.91,56093964.0
2015-02-27,256.31,274.5,249.7,271.31,49187104.0
2015-03-31,276.71,278.65,65.02,65.41,136699508.0
2015-04-30,65.45,69.98,64.35,66.05,160608587.0
2015-05-29,65.22,70.69,65.15,68.68,144581935.0
2015-06-30,69.13,70.02,66.69,67.15,131118485.0
2015-07-31,67.94,76.92,66.53,75.34,177273461.0
2015-08-31,75.59,76.17,60.0,71.3,178934538.0
2015-09-30,69.55,72.32,67.03,69.66,208292303.0
2015-10-30,70.09,78.89,68.36,77.58,177419211.0
2015-11-30,75.19,81.01,74.53,79.01,183615398.0
2015-12-31,79.53,80.49,75.52,77.55,196690064.0
2016-01-29,76.06,76.51,68.76,74.49,260380987.0
2016-02-29,74.08,74.78,66.12,72.39,213955896.0
2016-03-31,72.99,77.0,69.58,76.48,195451016.0
2016-04-29,76.25,81.73,75.8,77.24,174268331.0
2016-05-31,77.81,79.87,76.22,78.94,146453556.0
2016-06-30,78.69,81.71,73.25,74.17,233222035.0
2016-07-29,74.5,80.17,73.83,78.05,183918469.0
2016-08-31,78.31,81.76,77.73,80.9,149237623.0
2016-09-30,81.14,83.79,80.97,82.7,179003676.0
2016-10-31,82.42,83.7,81.11,82.51,178635744.0
2016-11-30,82.64,83.96,77.28,77.32,234696164.0
2016-12-30,77.57,80.39,75.17,78.02,244868085.0
2017-01-31,78.76,84.27,78.49,82.71,159153885.0
2017-02-28,82.9,88.49,81.57,87.94,167783472.0
2017-03-31,88.74,92.05,87.85,88.87,176898019.0
2017-04-28,89.14,92.8,88.13,91.22,156139058.0
2017-05-31,91.29,95.53,91.14,95.23,155976358.0
2017-06-30,95.4,96.6,92.8,93.78,197251059.0
2017-07-31,94.38,101.18,93.19,99.56,154989518.0
2017-08-31,100.36,104.2,99.43,103.52,148740209.0
2017-09-29,104.04,106.835,102.26,105.24,137450408.0
2017-10-31,105.54,110.74,104.8977,109.98,140428442.0
2017-11-30,110.5,113.62,106.9,112.59,136051994.0
2017-12-29,112.38,114.92,106.6,114.02,175640154.0
2018-01-31,114.57,126.88,113.95,124.23,144967375.0
2018-02-28,124.74,126.26,111.02,122.94,183890719.0
2018-03-29,123.26,125.44,116.03,119.62,182392051.0
2018-04-30,119.27,127.9,116.71,126.88,165231144.0
2018-05-31,126.86,132.5,125.32,130.72,147562270.0
2018-06-29,131.84,136.69,129.53,132.45,154720393.0
2018-07-31,131.96,143.14,131.15,136.74,161562542.0
2018-08-31,137.74,147.71,137.0,146.89,143157273.0
2018-09-28,146.93,150.64,142.54,150.09,147500495.0
2018-10-31,150.89,151.56,129.79,137.85,254092004.0
2018-11-30,139.0,145.46,129.54,141.71,208766205.0
2018-12-31,145.0,145.72,121.6,131.94,242677721.0
2019-01-31,130.0,139.9,127.88,135.01,193205412.0
2019-02-28,135.39,148.82,135.26,148.12,154776247.0
2019-03-29,149.46,156.82,144.5,156.19,207401562.0
2019-04-30,157.53,165.7,156.32,164.43,136490658.0
2019-05-31,165.54,165.77,156.42,161.33,147282119.0
2019-06-28,161.54,174.94,156.75,173.55,158885114.0
2019-07-31,175.33,184.07,172.74,178.0,126736340.0
2019-08-30,179.19,182.4,166.98,180.82,154470525.0
2019-09-30,180.52,187.05,172.01,172.01,171931176.0
2019-10-31,173.02,180.18,168.59,178.86,162923578.0
2019-11-29,180.13,184.85,175.18,184.51,134065026.0
2019-12-31,184.24,189.89,179.66,187.9,160394084.0
2020-01-31,189.0,210.13,187.16,198.97,183582543.0
