,1. open,2. high,3. low,4. close,5. volume
2010-02-26,16.02,16.47,14.37,16.07,255645266.0
2010-03-31,16.23,17.31,16.1,17.14,204842528.0
2010-04-30,17.58,18.4,17.25,18.26,177791107.0
2010-05-28,18.41,19.44,16.73,18.03,313720636.0
2010-06-30,18.17,18.94,16.94,18.21,178584184.0
2010-07-30,18.06,18.1,17.06,17.58,156331068.0
2010-08-31,18.02,19.0,17.43,18.93,152947919.0
2010-09-30,18.96,21.57,18.88,21.31,237658575.0
2010-10-29,21.52,24.17,21.4201,24.17,381175650.0
2010-11-30,24.35,28.72,23.41,27.44,797944646.0
2010-12-31,27.78,30.25,27.34,30.18,609463946.0
2011-01-31,30.29,30.44,26.03,27.392,551268080.0
2011-02-28,27.71,33.2,27.23,33.11,512859062.0
2011-03-31,33.58,37.26,33.01,36.77,724246687.0
2011-04-29,36.4,48.35,36.18,46.88,1528438996.0
2011-05-31,44.1,46.23,31.97,37.6,2325873480.0
2011-06-30,37.05,37.5,32.53,33.84,713019278.0
2011-07-29,33.06,40.35,32.61,38.85,737500800.0
2011-08-31,38.27,42.78,36.04,40.45,960107652.0
2011-09-30,40.4,42.3,27.41,28.91,750294409.0
2011-10-31,29.99,34.44,27.9,33.44,514768417.0
2011-11-30,31.7,34.39,29.83,32.0,399142671.0
2011-12-30,32.14,32.53,25.65,26.94,383500949.0
2012-01-31,27.97,33.1,27.83,32.28,369108544.0
2012-02-29,32.97,36.44,31.82,33.55,437968568.0
2012-03-30,33.74,34.64,30.21,31.38,422947805.0
2012-04-30,31.53,32.34,29.09,30.11,267491866.0
2012-05-31,30.36,30.44,25.99,26.96,314190523.0
2012-06-29,27.47,29.02,25.34,26.65,273124262.0
2012-07-31,26.66,27.6,25.73,27.12,183932022.0
2012-08-31,26.45,30.8,26.13,30.79,234029765.0
2012-09-28,31.19,34.05,30.98,33.48,308212836.0
2012-10-31,33.76,34.08,30.53,31.27,216693136.0
2012-11-30,31.5,33.31,29.84,32.36,228760221.0
2012-12-31,32.52,32.77,28.65,29.37,231717313.0
2013-01-31,30.38,31.41,28.61,30.44,245915073.0
2013-02-28,31.02,31.05,27.35,27.54,228222162.0
2013-03-28,27.67,28.39,27.17,27.43,138473858.0
2013-04-30,27.08,27.15,21.96,23.46,332715224.0
2013-05-31,22.69,23.57,20.81,21.435,321395264.0
2013-06-28,21.67,22.1881,17.75,18.97,284447118.0
2013-07-31,18.98,19.89,18.06,19.14,182927686.0
2013-08-30,19.09,23.839,18.72,22.6,265590584.0
2013-09-30,23.57,23.58,20.45,20.9,208646514.0
2013-10-31,20.18,22.23,19.88,21.095,195931183.0
2013-11-29,21.09,21.15,18.92,19.24,121605056.0
2013-12-31,18.89,19.69,18.26,18.71,185809360.0
2014-01-31,19.35,19.84,18.39,18.45,170954208.0
2014-02-28,18.62,21.3,18.58,20.35,168971590.0
2014-03-31,20.67,20.92,18.87,19.04,141421681.0
2014-04-30,19.01,19.45,18.315,18.46,126316927.0
2014-05-30,18.2,19.08,17.91,18.079,116246122.0
2014-06-30,18.06,20.33,17.98,20.25,141720042.0
2014-07-31,20.31,20.64,19.5,19.58,131378046.0
2014-08-29,19.68,19.72,18.54,18.71,108168612.0
2014-09-30,18.45,18.58,16.18,16.35,176505513.0
2014-10-31,16.45,17.09,15.21,15.5,168839177.0
2014-11-28,15.41,16.0,14.64,14.83,183567853.0
2014-12-31,15.26,16.49,14.87,15.06,200882185.0
2015-01-30,14.96,17.6922,14.89,16.54,192122059.0
2015-02-27,16.4,16.92,15.4,15.87,133257761.0
2015-03-31,15.86,16.41,14.63,15.93,145423270.0
2015-04-30,16.0,16.57,14.925,15.43,126907330.0
2015-05-29,15.35,16.96,15.25,15.99,114705020.0
2015-06-30,16.24,16.42,14.8,15.03,142252787.0
2015-07-31,14.91,15.15,13.73,14.08,151674802.0
2015-08-31,14.05,14.9163,13.35,13.99,129672203.0
2015-09-30,13.99,14.62,13.64,13.87,95882522.0
2015-10-30,13.98,15.6,13.83,14.8,131160453.0
2015-11-30,14.66,14.7497,13.36,13.44,93737363.0
2015-12-31,13.52,13.94,13.04,13.19,128684724.0
2016-01-29,13.47,13.88,13.1,13.59,99610007.0
2016-02-29,13.64,15.2,13.561,14.2,148671598.0
2016-03-31,14.21,15.2761,14.01,14.68,210979510.0
2016-04-29,14.24,17.09,14.085,16.98,237271868.0
2016-05-31,16.94,16.95,15.17,15.19,180244055.0
2016-06-30,15.19,17.9,15.04,17.865,237856505.0
2016-07-29,18.28,19.45,18.28,19.35,298780458.0
2016-08-31,19.45,19.71,17.6,17.72,208347304.0
2016-09-30,17.74,19.116,17.69,18.2,189774409.0
2016-10-31,18.1,18.11,16.23,16.97,209047652.0
2016-11-30,17.37,17.87,15.3401,15.66,269601621.0
2016-12-30,15.51,16.34,14.85,15.11,181252134.0
2017-01-31,15.25,16.69,15.19,16.63,149360033.0
2017-02-28,16.54,17.53,16.45,17.37,113410356.0
2017-03-31,17.34,17.49,15.94,17.25,145854560.0
2017-04-28,17.21,17.59,16.25,16.3,144310131.0
2017-05-31,16.22,16.52,15.21,16.39,168648982.0
2017-06-30,16.16,16.8,15.5,15.71,131202162.0
2017-07-31,15.37,15.96,14.44,15.9,164282046.0
2017-08-31,15.83,16.68,15.27,16.65,172961461.0
2017-09-29,16.71,17.14,15.71,15.74,143449751.0
2017-10-31,15.75,16.49,15.42,15.79,145490345.0
2017-11-30,15.95,16.41,15.4,15.51,155305993.0
2017-12-29,15.42,16.15,14.74,15.99,164061036.0
2018-01-31,16.13,16.64,15.791,16.35,188795634.0
2018-02-28,16.16,16.275,15.26,15.46,168361758.0
2018-03-29,15.33,15.9,15.19,15.41,164569741.0
2018-04-30,15.62,16.35,15.26,15.38,192182358.0
2018-05-31,15.3,15.85,15.12,15.46,154581738.0
2018-06-29,15.46,16.28,14.985,15.15,188999973.0
2018-07-31,14.96,15.25,14.35,14.61,166260214.0
2018-08-31,14.55,14.635,13.51,13.65,184689622.0
2018-09-28,13.23,13.84,13.11,13.73,179108288.0
2018-10-31,13.5332,14.02,13.385,13.41,194565341.0
2018-11-30,13.72,14.01,13.11,13.32,155845683.0
2018-12-31,13.63,14.56,13.48,14.52,179353453.0
2019-01-31,14.46,15.19,14.3,15.05,189376151.0
2019-02-28,15.05,15.21,14.55,14.63,119969739.0
2019-03-29,14.49,14.61,14.04,14.18,167271596.0
2019-04-30,14.24,14.35,13.83,14.02,147671193.0
2019-05-31,13.89,14.03,13.39,13.65,149786945.0
2019-06-28,13.77,14.5367,13.72,14.33,239658760.0
2019-07-31,14.24,15.59,13.95,15.21,400066759.0
2019-08-30,15.0,17.41,14.98,17.15,557272047.0
2019-09-30,17.59,18.35,15.83,15.92,577872518.0
2019-10-31,15.96,17.11,15.9137,16.92,386784377.0
2019-11-29,16.86,16.97,15.55,15.92,257998020.0
2019-12-31,15.8,16.86,15.44,16.68,233258376.0
2020-01-31,16.84,17.21,16.27,16.82,305684190.0
2020-02-28,16.61,17.69,15.28,15.53,375605277.0
2020-03-31,15.61,16.31,10.86,13.05,854970150.0
2020-04-30,13.0,14.795,12.87,13.98,420693718.0
2020-05-29,13.9,16.7,13.73,16.66,613921306.0
2020-06-30,16.86,17.1,15.79,17.01,584440415.0
2020-07-31,17.01,23.25,16.61,22.65,1159725264.0
2020-08-31,22.59,27.39,22.38,26.23,1481358004.0
2020-09-30,26.73,26.75,20.45,21.64,939376644.0
2020-10-30,22.01,23.53,21.27,21.99,561570197.0
2020-11-30,22.27,23.96,20.6,21.05,498922380.0
2020-12-31,21.93,24.84,21.8505,24.57,559333000.0
2021-01-29,25.54,25.74,22.74,24.99,878163199.0
2021-02-26,27.76,27.98,24.06,24.66,1056744736.0
2021-03-31,24.96,25.0404,22.1301,22.7,665988147.0
2021-04-30,22.87,24.735,22.8,24.01,401972810.0
2021-05-28,24.6111,26.39,24.21,25.9,544372069.0
2021-06-30,26.38,26.43,23.75,24.22,532634828.0
2021-07-30,24.34,24.69,22.69,23.63,429417611.0
2021-08-31,23.47,24.0699,21.195,22.14,433261457.0
2021-09-30,22.36,23.04,19.83,20.52,597896813.0
2021-10-29,20.81,22.98,20.65,22.09,509856318.0
2021-11-30,22.24,23.5,20.99,21.06,506863250.0
2021-12-31,20.98,21.5861,19.8,21.51,432530857.0
2022-01-31,21.04,22.84,20.35,20.8,583725583.0
2022-02-28,21.17,23.4,20.34,22.62,624200661.0
2022-03-31,22.84,24.9,22.21,22.88,875714175.0
2022-04-29,22.59,24.1553,20.99,21.04,701550971.0
2022-05-31,20.63,21.33,19.01,19.84,642172158.0
2022-06-30,20.19,20.64,18.64,18.64,506254675.0
2022-07-29,18.1,18.73,16.73,18.7,506090712.0
2022-08-31,18.72,19.22,16.58,16.58,457263517.0
2022-09-30,16.39,18.435,16.19,17.5,380653675.0
2022-10-31,18.47,19.56,16.662,17.62,401042637.0
2022-11-30,18.321,20.43,17.44,20.43,370976622.0
2022-12-30,20.63,22.35,20.27,22.02,381910974.0
2023-01-31,22.45,22.54,20.93,21.83,333270721.0
2023-02-28,21.8,22.52,18.89,19.22,333625779.0
2023-03-31,19.28,22.2,18.38,22.12,449615405.0
2023-04-28,21.96,23.89,21.9249,23.0,379544479.0
2023-05-31,23.691,23.94,20.84,21.61,408843413.0
2023-06-30,21.59,22.516,20.45,20.89,292370260.0
2023-07-31,21.05,23.155,20.6714,22.69,291066635.0
2023-08-31,22.31,22.94,20.52,22.39,318808237.0
2023-09-29,22.61,22.7009,20.275,20.34,305314105.0
2023-10-31,19.69,21.72,18.97,20.98,447480725.0
2023-11-30,20.82,23.145,20.1,23.13,330941052.0
2023-12-29,23.09,23.3712,20.6123,21.78,365763302.0
2024-01-31,21.89,21.99,20.07,20.91,328703840.0
2024-02-29,20.94,21.5,20.11,20.73,305444186.0
2024-03-28,20.8,23.45,20.64,22.75,425139077.0
2024-04-30,23.187,27.24,22.63,24.05,936484542.0
2024-05-31,24.18,29.56,23.87,27.76,656880967.0
2024-06-28,27.82,28.63,26.09,26.57,383464947.0
2024-07-31,26.72,28.91,24.93,26.39,381506432.0
2024-08-30,26.53,27.46,24.25,26.35,387207715.0
2024-09-30,25.83,29.465,25.27,28.41,412916277.0
2024-10-31,28.78,31.8,27.47,29.81,579678866.0
2024-11-29,30.06,30.185,27.315,27.92,346014344.0
2024-12-31,27.85,29.43,26.19,26.33,402948320.0
2025-01-31,26.72,28.9,26.7,28.51,382720282.0
2025-02-28,28.55,30.275,28.04,28.31,391769131.0
2025-03-21,28.86,31.15,28.64,30.02,304799646.0
