,1. open,2. high,3. low,4. close,5. volume
2005-01-31,63.35,64.98,61.2,64.7,136191800.0
2005-02-28,64.61,66.89,64.52,65.6,107556700.0
2005-03-31,66.47,68.68,66.12,67.16,158100100.0
2005-04-29,67.32,69.99,66.65,68.63,158634500.0
2005-05-31,68.68,68.87,66.755,67.1,125789400.0
2005-06-30,67.1,67.61,64.43,65.0,162476400.0
2005-07-29,64.82,65.43,62.67,63.96,149908400.0
2005-08-31,64.25,65.35,61.65,63.39,138029400.0
2005-09-30,63.18,65.33,62.85,63.28,139445700.0
2005-10-31,63.18,64.5999,60.53,62.62,224158000.0
2005-11-30,62.48,63.78,60.0,61.75,241169500.0
2005-12-30,61.85,62.06,59.76,60.1,189869600.0
2006-01-31,61.07,63.1,57.45,57.54,220695200.0
2006-02-28,57.67,59.71,56.65,57.65,183341700.0
2006-03-31,57.62,61.1,57.45,59.22,181202600.0
2006-04-28,59.49,59.76,57.32,58.61,171133300.0
2006-05-31,58.71,60.93,58.19,60.22,196603700.0
2006-06-30,60.25,62.0,58.97,59.92,199396300.0
2006-07-31,60.13,63.0,59.6842,62.55,134968800.0
2006-08-31,62.38,65.13,62.29,64.66,150477100.0
2006-09-29,64.87,65.04,63.25,64.94,128522300.0
2006-10-31,65.0,69.41,64.5,67.4,189511300.0
2006-11-30,67.38,69.03,65.22,65.91,196072100.0
2006-12-29,65.91,67.25,65.29,66.02,157532600.0
2007-01-31,66.13,68.22,65.9,66.8,175594400.0
2007-02-28,66.8,67.15,62.72,62.93,192375400.0
2007-03-30,62.3,62.93,59.87,60.26,318147400.0
2007-04-30,60.26,65.45,60.03,64.22,248968100.0
2007-05-31,64.53,64.94,61.65,63.27,280281700.0
2007-06-29,63.35,63.77,60.73,61.62,259962000.0
2007-07-31,61.94,63.88,59.72,60.5,290358700.0
2007-08-31,60.51,62.98,60.31,61.79,331077300.0
2007-09-28,61.63,65.75,61.26,65.7,220556400.0
2007-10-31,65.66,66.8,63.55,65.17,232885800.0
2007-11-30,64.8,68.75,63.73,67.74,284874000.0
2007-12-31,67.47,68.5,66.55,66.7,197170400.0
2008-01-31,66.56,68.85,61.72,63.14,339978400.0
